,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,349,WISE 2359-7335,42.7,,
156,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659722,86,SDSSp J083008.12+482847.4 [de],43,48,0.99
157,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589,90,2MASSI J0847287-153237 [de],43,64,1.00
158,2MASS J07522390+1612157,60,0.001918722,6.987884,121,2MASS J12255432-2739466,43,,
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,59,2MASS J05002100+0330501 [de],44,64,1.00
160,2MASS J08251968+2115521 [de],35,0.049638576,0.10070774,154,2MASSW J1555157-095605 [de],44,71,1.03
161,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173537,278,WISE 1311+0122,44.4,,
162,LHS 2021,55,0.084003744,0.11817745,319,WISE 1952+7240,44.4,,
163,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865248,232,WISE 0513+0608,44.7,,
164,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,336,WISE 2255-3118,44.7,,
165,2MASSI J0847287-153237 [de],43,0.061093632,0.102763,36,2MASS J03185403-3421292 [de],45,49,0.97
166,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,332,WISE 2226+0440,45,,
167,2MASSI J0859254-194926 [de],50,0.0477294,0.10070774,217,WISE 0323-6025,45.3,,
168,2MASSI J0937347+293142,20,0.040092696,0.09659722,123,2M 1237+6526,45.6,41,0.94
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,221,WISE 0335+4310,45.7,,
170,2MASS J09490860-1545485 [de],59,0.046774812,0.09865248,250,WISE 0723+3403,45.7,,
171,2MASS J10073369-4555147,46,0.042001872,0.09659722,97,2MASS J10073369-4555147,46,44,0.94
172,2MASSI J1010148-040649 [de],55,0.048683988,0.10070774,145,2MASSW J1506544+132106 [de],46,69,1.02
173,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583,167,2MASS J18432213+4040209,46,96,1.22
174,2MASSW J1036530-344138 [de],53,0.046774812,0.09968011,259,WISE 0819-0335,46,,
175,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722,329,WISE 2209-2734,46,,
176,DEN 1048-3956,13.15,0.073503276,0.10995641,334,WISE 2237+7228,46,,
177,Luhman 16B,6.516,0.041047284,0.10481826,346,WISE 2344+1034,46,,
178,Luhman 16A,6.516,0.03818352,0.10379063,0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
179,DENIS-P J1058.7−1548,49,0.061093632,0.102763,6,2MASS J00275592+2219328,46.9,,
180,TWA 28,180,0.034365168,0.24560357,37,2MASS J03205965+1854233,47,88,1.15
181,Cha 110913-773444,163,0.007636704,0.1849734,137,2MASS J14392837+1929150,47,72,1.03
182,SDSS J111010.01+011613.1,63,0.008591292,0.12742612,139,2MASS J14482563+1031590 [de],47,59,0.99
